firepower_min,firepower_max,11,12,13,14,15,16,21,22,23,24,25,26,31,32_plus
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
4,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0
5,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0
6,6,2,2,2,1,1,1,0,0,0,0,0,0,0,0
7,7,2,2,2,2,1,1,1,0,0,0,0,0,0,0
8,8,3,2,2,2,1,1,1,1,0,0,0,0,0,0
9,10,3,3,2,2,2,1,1,1,0,0,0,0,0,0
11,13,3,3,2,2,2,2,2,1,1,0,0,0,0,0
14,17,4,3,3,2,2,2,2,2,1,1,0,0,0,0
18,22,4,3,3,3,3,2,2,2,2,1,1,0,0,0
23,26,5,4,3,3,3,3,2,2,2,2,1,1,0,0
27,36,5,4,4,3,3,3,3,2,2,2,2,1,0,0
37,46,5,5,4,4,4,3,3,3,2,2,2,1,1,0
47,56,5,5,5,4,4,4,3,3,3,3,2,2,1,0
57,66,6,5,5,5,4,4,4,4,3,3,3,2,1,0
67,85,6,6,5,5,5,4,4,4,4,4,3,2,2,0
86,100,7,6,6,6,5,5,4,4,4,4,4,2,2,0
101,9999,7,7,6,6,5,5,5,5,5,4,4,3,2,0
