gun_id,nation,caliber_in,period,1-2,3-5,6-7,8-10,11-13,14-17,18-20,21-25
us-16-45,US,16,post_1942,25,24,23,22,21,20,19,18
us-16-1928,US,16,1928,24,23,22,21,20,19,18,17
uk-15,UK,15,all,19,18,18,18,17,17,17,16
us-14,US,14,all,17,16,16,16,15,15,15,14
us-12,US,12,all,20,18,17,15,14,12,11,9
generic-8,GENERIC,8,all,13,12,11,10,9,8,7,6
uk-8,UK,8,all,10,10,9,9,9,8,8,7
generic-7.5,GENERIC,7.5,all,9,8,7,7,6,5,5,4
us-6,US,6,all,9,8,7,7,6,5,5,4
uk-6,UK,6,all,8,7,7,7,6,6,5,4
uk-5.25,UK,5.25,all,7,7,7,6,6,5,4,4
us-5,US,5,all,6,5,5,4,4,3,2,2
uk-4.7,UK,4.7,all,6,6,6,5,5,4,3,3
generic-4.7-1928,GENERIC,4.7,1928,5,5,4,4,3,3,2,2
generic-4.5-4-3.9,GENERIC,4.5|4|3.9,all,5,5,4,4,3,3,2,2
us-4,US,4,all,6,5,5,4,4,3,2,2
jp-18.1,JP,18.1,all,26,25,24,23,22,21,20,19
jp-16.1,JP,16.1,all,19,18,18,18,17,17,17,16
jp-14,JP,14,all,17,16,16,16,15,15,15,14
jp-12.2,JP,12.2,all,16,15,15,14,14,13,12,11
jp-7.9-8,JP,7.9|8,all,10,10,9,9,9,8,8,7
jp-6.1,JP,6.1,all,8,7,7,7,6,6,5,4
nl-se-5.9,NL_SE,5.9,all,9,8,7,7,6,5,5,4
jp-5.5,JP,5.5,all,7,7,7,6,6,5,4,4
jp-4.7,JP,4.7,all,6,5,5,4,4,3,2,2
nl-4.7,NL,4.7,all,6,6,6,5,5,4,3,3
de-3.5-us-jp-3,DE_US_JP,3.5|3,all,4,3,2,2,1,1,-,-
