claim_id,file,sha256_16,status
C1-kernel,research/results/e01/kernel_fits.json,8ec3e881e5ec2629,verified
C1-kernel,paper_v7/figures/fig_e01_calibration.png,b0886b4fcb5168c5,verified
C2-path-integrated,research/results/b2/report.md,631129e87ba134d0,verified
C3-degeneracy,research/results/e02/degeneracy_check.json,36444d1caf51828e,verified
C3b-assumption-matrix,research/results/b3/report.md,e13a9d22ebb0f85a,verified
C4-speed-monotonicity,research/results/b4/report.md,ab5f117f81546edf,verified
C4-speed-monotonicity,paper_v7/figures/fig_b4_monotonicity.png,b0acc2e42c7356b7,verified
C5-reposition-cost,research/results/b5/report.md,20288f0695ab7864,verified
C5-reposition-cost,paper_v7/figures/fig_b5_cost.png,b7af5305d9fb17d4,verified
C6-no-guarantee,research/results/b6/report.md,d95cd855406f7885,verified
C6-no-guarantee,paper_v7/figures/fig_b6_thresholds.png,85463b14ead42652,verified
C7-commitment-library,research/results/b7/report.md,77aa863c17a18e29,verified
C8-library-nonconvergence,research/results/b8/report.md,5088aad74ee77a23,verified
C9-delayed-threat,research/results/b10/report.md,9a52f202c4ea3c2d,verified
C10-response-contraction,research/results/b11/report.md,fc244c836e1227b3,verified
C11-matched-lethality,research/results/b12/report.md,a6057653edce57ed,verified
C12-engine-crosspolicy,research/results/b13/games.csv,15bd5dba3b27b6ee,verified
C12-engine-crosspolicy,paper_v7/figures/fig_e06_forest.png,1f55a0c7d7218cd1,verified
C13-commitment-formation,research/results/final_v7/must1_aggregate.json,1024bec540db352b,verified
C14-engine-matched,research/results/final_v7/must2_results.json,a3d9a4639b5bbe76,verified
