"claim_id","claim_text","section","formation_scope","policy_scope","evaluation_horizon","replan_interval","evidence_source","exact_or_mc","solver_status","CI_or_bound","external_validity","status","required_wording"
"C1","path-integrated objective is load-bearing","Path-integrated Formation Maneuver","theory_general (formation map G_ik)","open-loop plan ranking","gradient-free trajectory rollouts","n/a","research/results/b2 (1089 rollouts)","exact LP per cell","converged","Kendall tau 0.14-0.62","not claimed external","KEEP","snapshot positional surrogates can reorder or reverse whole-trajectory rankings"
"C2","symmetric closed-loop degeneracy V=L","Structural Properties of the Closed-Loop Game","theory_general","closed-loop","infinite (0<gamma<1) and finite (gamma<=1)","n/a","e02 + b3 + Proposition 1 proof","exact (proof) and converged DP","converged","analytic","not claimed external","KEEP","under the stated exchange-symmetry assumptions (A1)-(A2); finite horizon by induction, infinite by contraction"
"C3","maximum-speed capability monotonicity","Structural Properties of the Closed-Loop Game","theory_general","closed-loop","any horizon","n/a","b4 (8/8) + Proposition 2 proof","exact (proof)","converged","analytic","not claimed external","KEEP","nested maximum-speed capability sets; fixed operating speed excluded"
"C4","formation exposure aggregates over vessel pairs","General Formation Game","theory_general","n/a","n/a","n/a","Proposition 3 proof","exact (proof)","converged","analytic","not claimed external","KEEP","for any formation map G_ik"
"C5","open-loop engagement-horizon effect (formerly called commitment)","Commitment, Replanning Cadence, and a Corrected Experiment","leader_follower (certified on v10)","open-loop sealed plans","H = plan length (confounded)","none","research/final_v9 and final_v10 certification CSVs","exact finite-game bounds","sign-certified","equilibrium bounds (values loose)","not claimed external","NARROW","must be called an open-loop engagement-horizon effect; never a commitment value"
"C6","matched-horizon commitment effect","Commitment, Replanning Cadence, and a Corrected Experiment","leader_follower","receding (cadence h)","T = 6 fixed","h in {1,2,3,6}","research/final_v11/commitment_matched/main_18cells.csv","Monte Carlo (mixed-equilibrium sampling)","restricted-set equilibrium (residual bias measured)","paired bootstrap 95% CI","not claimed external","REMOVE","10/18 intervals exclude zero but only 4 match sign(eta_r-1); 6 significant reversals; symmetric control fails in 2/3 -> no commitment claim"
"C7","formation-representation robustness of the open-loop metric","Formation Representation Robustness","rigid vs leader_follower","open-loop","H = plan length","none","research/final_v10/bridge + commitment_lf_exact","exact finite-game bounds","converged","equilibrium bounds","not claimed external","KEEP","9/9 sign agreement and 18/18 certified-sign agreement on that metric; geometry diverges (up to 7.2 hex, 15-18% field)"
"C8","delayed threat: coverage and intensity interact","Delayed Threats and Response-Space Contraction","engine and both formation maps","n/a","n/a","n/a","b10 + b11 + b12 + final_v10 torpedo sensitivity","exact enumeration over response sets","converged","response-set cardinality","engine-internal","KEEP","contraction depends jointly on coverage and local intensity; coverage alone is not universally inert or dominant"
"C9","no guaranteed favorable state in open water","Reachability and Viability","rigid baseline (frozen)","closed-loop","fixed","n/a","research/results/b6","rollout sweep","converged per cell","worst-case retention ratio","engine-internal","KEEP","under unconstrained disengagement in the tested capability ratios"
"C10","cross-policy engine ordering transfer","External Engine Case Study","engine","doctrine baselines","n/a","n/a","research/results/b13/games.csv","rollout (100 paired seeds)","converged","paired bootstrap CI","PARTIAL (ordering only)","NARROW","rank ordering preserved; strict sign agreement in two of three geometries"
"C11","matched engine point-value transfer","External Engine Case Study","engine","matched 2x2 same policy","n/a","n/a","research/results/final_v7/must2_results.json","rollout (4800 CRN games)","gates evaluated","paired bootstrap CI","FAIL -> external case study","REMOVE","partial and non-monotonic transfer; the engine is a case study, not a validation substrate"
"C12","+5.14 head-on gap is a feedback advantage","n/a","engine","cross-policy","n/a","n/a","research/results/b13/games.csv","not applicable","n/a","none","n/a","REMOVE","relabelled as a policy-class gap"
"C13","coverage beats damage","n/a","theory_general","n/a","n/a","n/a","research/results/b12","not applicable","n/a","none","n/a","REMOVE","superseded by the coverage x intensity interaction"
"C14","kernel is a decision-grade anisotropic surrogate","Naval Combat Instantiation","theory_general","n/a","n/a","n/a","research/results/e01/kernel_fits.json","interval-censored least squares","converged","held-out Spearman","calibrated on engine semantics","KEEP","removing directionality reduces held-out rho from 0.991 to 0.952"
"C15","reposition cost is representation-sensitive","Formation Representation Robustness","rigid vs leader_follower","open-loop","fixed","n/a","research/final_v10/reposition_sensitivity","exact payoff (no solver)","n/a","none","not claimed external","NARROW","a robustness diagnostic, not a structural result"
"C16","stage reward timing","Commitment, Replanning Cadence, and a Corrected Experiment","leader_follower","receding","T = 6","h in {1,2,3,6}","research/final_v11 unit test A","exact","converged","r_0 varies by 2.05 across actions","n/a","KEEP","trapezoid interval reward; every action affects its own step's reward"
